■ niche_ の座標検査 153件（mapPointをOSMで引いて登録値と比べる）
   ❌   7338m 七ヶ宿町のダム湖           mapPoint=七ヶ宿ダム → OSM 七ヶ宿ダム 七ヶ宿ダム
   ❌  18729m 柳津虚空蔵尊温泉           mapPoint=福満虚空蔵尊 → OSM 福満虚空蔵尊 福満虚空蔵尊
   ❌   5599m 真壁の古い町並み           mapPoint=真壁伝承館 → OSM 真壁伝承館 真壁伝承館
   ❌  31319m 飯岡刑部岬              mapPoint=飯岡灯台 → OSM 飯岡灯台 飯岡灯台
   ❌   3665m 白山平泉寺門前町           mapPoint=白山平泉寺 → OSM 白山平泉寺歴史探遊館 まほろば 白山平泉寺歴史探遊館 まほろ
   ❌   3940m あわら温泉              mapPoint=芦湯 → OSM 芦湯 (足湯) 芦湯 (足湯) 芦湯 (足湯)
   ❌   1398m 猿橋宿場町              mapPoint=猿橋 → OSM 猿橋 猿橋 猿橋
   ❌   3963m 石部棚田               mapPoint=石部棚田 → OSM 石部棚田 石部棚田 石部棚田
   ❌   5711m ヒリゾ浜               mapPoint=ヒリゾ浜 → OSM ヒリゾ浜 ヒリゾ浜 ヒリゾ浜
   ❌  24687m 伊良湖岬               mapPoint=伊良湖岬灯台 → OSM 伊良湖岬灯台 伊良湖岬灯台
   ❌    715m 太子町の古刹群            mapPoint=叡福寺 → OSM 叡福寺 叡福寺
   ❌   5687m 野迫川村の深山と秘湯群        mapPoint=野迫川温泉 → OSM 奥高野 野迫川温泉 ホテルのせ川 奥高野 野迫川温泉 ホテル
   ❌    811m 月ヶ瀬温泉と梅林の里         mapPoint=月ヶ瀬温泉 → OSM 梅の郷;月ヶ瀬温泉 梅の郷;月ヶ瀬温泉
   ❌   4365m 三輪崎の漁港と海鮮食堂街       mapPoint=三輪崎漁港 → OSM 三輪崎漁港交流施設 三輪崎漁港交流施設
   ❌  31471m 高野龍神スカイライン         mapPoint=高野龍神スカイライン → OSM 高野龍神スカイライン 高野龍神スカイライン 高野龍神スカイラ
   ❌   1485m 須佐ホルンフェルス          mapPoint=須佐ホルンフェルス（遊歩道） → OSM 須佐ホルンフェルス入口 須佐ホルンフェルス入口
   ❌   3734m 本山町                mapPoint=早明浦ダム展望台 → OSM 早明浦ダム展望台 早明浦ダム展望台
   ❌   8447m 嘉穂劇場               mapPoint=嘉穂劇場 → OSM 嘉穂劇場 嘉穂劇場
   ❌  20993m 黒髪山                mapPoint=黒髪山 → OSM 黒髪山 黒髪山 黒髪山
   ❌   1331m 佐賀関漁港と三浦海岸         mapPoint=佐賀関漁港 → OSM 佐賀関漁港 佐賀関漁港
   ❌    409m 青の洞門と耶馬渓           mapPoint=青の洞門 → OSM 青の洞門 青の洞門
   ❌  22885m 観音池公園              mapPoint=観音池公園 → OSM 観音池公園 観音池公園
   ❌   2000m 串木野港周辺の漁師町         mapPoint=串木野新港 → OSM 串木野新港 串木野新港

   照合できた 30 / 153件
   400m超のずれ 23件
      31471m niche_和歌山_6        高野龍神スカイライン
      31319m niche_千葉_1         飯岡刑部岬
      24687m niche_愛知_1         伊良湖岬
      22885m niche_宮崎_6         観音池公園
      20993m niche_佐賀_5         黒髪山
      18729m niche_福島_2         柳津虚空蔵尊温泉
       8447m niche_福岡_3         嘉穂劇場
       7338m niche_宮城_3         七ヶ宿町のダム湖
       5711m niche_静岡_4         ヒリゾ浜
       5687m niche_奈良_2         野迫川村の深山と秘湯群
       5599m niche_茨城_1         真壁の古い町並み
       4365m niche_和歌山_2        三輪崎の漁港と海鮮食堂街
       3963m niche_静岡_3         石部棚田
       3940m niche_福井_3         あわら温泉
       3734m niche_高知_5         本山町
       3665m niche_福井_2         白山平泉寺門前町
       2000m niche_鹿児島_1        串木野港周辺の漁師町
       1485m niche_山口_6         須佐ホルンフェルス
       1398m niche_山梨_4         猿橋宿場町
       1331m niche_大分_1         佐賀関漁港と三浦海岸
        811m niche_奈良_3         月ヶ瀬温泉と梅林の里
        715m niche_大阪_2         太子町の古刹群
        409m niche_大分_2         青の洞門と耶馬渓
